Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Post-tax national income | individuals | Share | Adults | share of total (ratio);Post-tax national income | tax unit | Share | Adults | share of total (ratio);Fiscal income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Share | Adults | share of total (ratio);Net personal wealth | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
;GB;1971;p99.9p100;;262791.133289;3562219.91399;;;;;;;0.008;;0.0167;0.0887641143799;;0.0167;;
;GB;1971;p99.99p100;;629327.306274;;;;;;;;;;0.004;;;0.004;;
;GB;1971;p90p100;;46090.127911;254427.89907;;;;;;;0.2616;;0.2929;0.633988571167;;0.2929;;
;GB;1971;p90p95;;32982.2151251;112365.148604;;;;;;;;;0.1048;0.139996871948;;0.1048;;
;GB;1971;p95p99;;46381.2261971;227461.271036;;;;;;;;;0.1179;0.226717033386;;0.1179;;
;GB;1971;p99.5p99.9;;113690.876991;1064925.40278;;;;;;;;;0.0289;0.106144104004;;0.0289;;
;GB;1971;p99.95p99.99;;271437.84151;;;;;;;;;;0.0069;;;0.0069;;
;GB;1971;p99.9p99.95;;182548.434537;;;;;;;;;;0.0058;;;0.0058;;
;GB;1971;p99.9p99.99;;222056.800005;;;;;;;;;;0.0127;;;0.0127;;
;GB;1971;p99p99.5;;77420.177414;580832.022056;;;;;;;;;0.0246;0.0723664474487;;0.0246;;
;GB;1971;p95p100;;59198.0406969;396490.649537;;;;;;;0.1589;;0.1881;0.493991699219;;0.1881;;
;GB;1971;p0p90;;;16320.5744129;;;;;;;;;;0.366011428833;;;;
;GB;1971;p99.5p100;;143510.572767;1564384.30502;;;;;;;0.0294;;0.0456;0.194908218384;;0.0456;;
;GB;1971;p99.95p100;;343024.266814;;;;;;;;;;0.0109;;;0.0109;;
;GB;1970;p0p100;;15853.5269448;38685.5776461;;;;4.47164585396e+11;;;;;;;;;;
;GB;1970;p99p100;;111767.476517;1059470.73953;;;;;;;0.0483;;0.0705;0.273867111206;;0.0705;;
;GB;1970;p99.9p100;;260001.200859;3838654.15428;;;;;;;0.0073;;0.0164;0.0992270088196;;0.0164;;
;GB;1970;p99.99p100;;665737.689199;;;;;;;;;;0.0042;;;0.0042;;
;GB;1970;p90p100;;45689.8557917;249373.103401;;;;;;;0.2527;;0.2882;0.64461517334;;0.2882;;
;GB;1970;p90p95;;32246.0675504;110805.733637;;;;;;;;;0.1017;0.143213233948;;0.1017;;
;GB;1970;p95p99;;45975.2055196;220057.906574;;;;;;;;;0.116;0.227534828186;;0.116;;
;GB;1970;p99.5p99.9;;116919.529469;992250.039988;;;;;;;;;0.0295;0.102596378326;;0.0295;;
;GB;1970;p99.95p99.99;;249688.833812;;;;;;;;;;0.0063;;;0.0063;;
;GB;1970;p99.9p99.95;;187085.186054;;;;;;;;;;0.0059;;;0.0059;;
;GB;1970;p99.9p99.99;;214910.411573;;;;;;;;;;0.0122;;;0.0122;;
;GB;1970;p99p99.5;;77999.4304201;557410.616207;;;;;;;;;0.0246;0.0720437240601;;0.0246;;
;GB;1970;p95p100;;59133.6440329;387940.473165;;;;;;;0.1533;;0.1865;0.501401939392;;0.1865;;
;GB;1970;p0p90;;;15275.8525622;;;;;;;;;;0.35538482666;;;;
;GB;1970;p99.5p100;;145535.522613;1561530.86285;;;;;;;0.0282;;0.0459;0.201823387146;;0.0459;;
;GB;1970;p99.95p100;;332908.523804;;;;;;;;;;0.0105;;;0.0105;;
;GB;1969;p0p100;;15406.6643902;38400.2274625;;;;4.33867097809e+11;;;;;;;;;;
;GB;1969;p99p100;;114933.822472;1059890.16494;;;;;;;0.0503;;0.0746;0.276011428833;;0.0746;;
;GB;1969;p99.9p100;;285026.952176;3635905.08209;;;;;;;0.0081;;0.0185;0.0946844673157;;0.0185;;
;GB;1969;p99.99p100;;723993.065434;;;;;;;;;;0.0047;;;0.0047;;
;GB;1969;p90p100;;44247.928236;248086.147265;;;;;;;0.2507;;0.2872;0.646053848267;;0.2872;;
;GB;1969;p90p95;;30381.9340116;108032.456333;;;;;;;;;0.0986;0.140666427612;;0.0986;;
;GB;1969;p95p99;;43908.9686246;220202.25651;;;;;;;;;0.114;0.229375991821;;0.114;;
;GB;1969;p99.5p99.9;;119786.569243;1056746.55502;;;;;;;;;0.0311;0.110077114105;;0.0311;;
;GB;1969;p99.95p99.99;;288870.058636;;;;;;;;;;0.0075;;;0.0075;;
;GB;1969;p99.9p99.95;;194138.036403;;;;;;;;;;0.0063;;;0.0063;;
;GB;1969;p99.9p99.99;;236243.248749;;;;;;;;;;0.0138;;;0.0138;;
;GB;1969;p99p99.5;;77033.3930775;547202.069459;;;;;;;;;0.025;0.0712498474121;;0.025;;
;GB;1969;p95p100;;58113.9224604;388139.838197;;;;;;;0.1538;;0.1886;0.505387420654;;0.1886;;
;GB;1969;p0p90;;;15101.7919289;;;;;;;;;;0.353946151733;;;;
;GB;1969;p99.5p100;;152834.251866;1572578.26043;;;;;;;0.0299;;0.0496;0.204761581421;;0.0496;;
;GB;1969;p99.95p100;;375905.033652;;;;;;;;;;0.0122;;;0.0122;;
;GB;1968;p0p100;;15078.9979071;39691.4457991;;;;4.23584108364e+11;;;;;;;;;;
;GB;1968;p99p100;;113695.753324;1211761.31967;;;;;;;0.051;;0.0754;0.305295333862;;0.0754;;
;GB;1968;p99.9p100;;281980.892931;4419681.9474;;;;;;;0.0083;;0.0187;0.11135099411;;0.0187;;
;GB;1968;p99.99p100;;708595.322014;;;;;;;;;;0.0047;;;0.0047;;
;GB;1968;p90p100;;43050.5290167;267355.857995;;;;;;;0.2494;;0.2855;0.673585586548;;0.2855;;
;GB;1968;p90p95;;29524.6710384;102178.188698;;;;;;;;;0.0979;0.128715629578;;0.0979;;
;GB;1968;p95p99;;42296.5666913;237726.579198;;;;;;;;;0.1122;0.239574623108;;0.1122;;
;GB;1968;p99.5p99.9;;117992.920205;1156102.27492;;;;;;;;;0.0313;0.116508960724;;0.0313;;
;GB;1968;p99.95p99.99;;278956.740839;;;;;;;;;;0.0074;;;0.0074;;
;GB;1968;p99.9p99.95;;199057.201073;;;;;;;;;;0.0066;;;0.0066;;
;GB;1968;p99.9p99.99;;234569.871539;;;;;;;;;;0.014;;;0.014;;
;GB;1968;p99p99.5;;76601.3828763;614704.429927;;;;;;;;;0.0254;0.0774353790283;;0.0254;;
;GB;1968;p95p100;;56576.386995;432533.527293;;;;;;;0.1537;;0.1876;0.54486995697;;0.1876;;
;GB;1968;p0p90;;;14395.3999995;;;;;;;;;;0.326414413452;;;;
;GB;1968;p99.5p100;;150790.123772;1808818.20942;;;;;;;0.0307;;0.05;0.227859954834;;0.05;;
;GB;1968;p99.95p100;;364894.699977;;;;;;;;;;0.0121;;;0.0121;;
;GB;1967;p0p100;;14761.5853365;39224.4578942;;;;4.10372059956e+11;;;;;;;;;;
;GB;1967;p99p100;;113516.697057;1173295.4021;;;;;;;0.0523;;0.0769;0.299123420715;;0.0769;;
;GB;1967;p99.9p100;;281949.903863;4113434.29307;;;;;;;0.0087;;0.0191;0.104869117737;;0.0191;;
;GB;1967;p99.99p100;;752715.930809;;;;;;;;;;0.0051;;;0.0051;;
;GB;1967;p90p100;;42483.8315568;261677.756784;;;;;;;0.2519;;0.2878;0.667129058838;;0.2878;;
;GB;1967;p90p95;;28903.1765769;103703.640701;;;;;;;;;0.0979;0.132192573547;;0.0979;;
;GB;1967;p95p99;;41701.4553093;231240.990558;;;;;;;;;0.113;0.235813064575;;0.113;;
;GB;1967;p99.5p99.9;;118092.440834;1137651.09023;;;;;;;;;0.032;0.116014461517;;0.032;;
;GB;1967;p99.95p99.99;;273084.700157;;;;;;;;;;0.0074;;;0.0074;;
;GB;1967;p99.9p99.95;;194867.046073;;;;;;;;;;0.0066;;;0.0066;;
;GB;1967;p99.9p99.99;;229632.174661;;;;;;;;;;0.014;;;0.014;;
;GB;1967;p99p99.5;;76169.8513411;613783.073409;;;;;;;;;0.0258;0.0782398414612;;0.0258;;
;GB;1967;p95p100;;56064.4865367;419651.872867;;;;;;;0.1555;;0.1899;0.534936485291;;0.1899;;
;GB;1967;p0p90;;;14507.4246842;;;;;;;;;;0.332870941162;;;;
;GB;1967;p99.5p100;;150863.542773;1732807.73079;;;;;;;0.0316;;0.0511;0.220883579254;;0.0511;;
;GB;1967;p99.95p100;;369022.381053;;;;;;;;;;0.0125;;;0.0125;;
;GB;1966;p0p100;;14494.6377196;37205.708893;;;;4.01501467846e+11;;;;;;;;;;
;GB;1966;p99p100;;114797.638472;1089036.37961;;;;;;;0.053;;0.0792;0.292706794739;;0.0792;;
;GB;1966;p99.9p100;;295694.411928;3794990.39701;;;;;;;0.0089;;0.0204;0.102000217438;;0.0204;;
;GB;1966;p99.99p100;;753596.098717;;;;;;;;;;0.0052;;;0.0052;;
;GB;1966;p90p100;;41947.4709211;246634.745816;;;;;;;0.2527;;0.2894;0.662894897461;;0.2894;;
;GB;1966;p90p95;;28177.5685801;97365.2612041;;;;;;;;;0.0972;0.130847206116;;0.0972;;
;GB;1966;p95p99;;40947.3289689;222621.193133;;;;;;;;;0.113;0.239340896606;;0.113;;
;GB;1966;p99.5p99.9;;118855.786624;1072121.97775;;;;;;;;;0.0328;0.11526424408;;0.0328;;
;GB;1966;p99.95p99.99;;308005.833018;;;;;;;;;;0.0085;;;0.0085;;
;GB;1966;p99.9p99.95;;194242.221017;;;;;;;;;;0.0067;;;0.0067;;
;GB;1966;p99.9p99.99;;244806.337855;;;;;;;;;;0.0152;;;0.0152;;
;GB;1966;p99p99.5;;75372.1868755;561377.097609;;;;;;;;;0.026;0.0754423332214;;0.026;;
;GB;1966;p95p100;;55717.3732622;395904.230428;;;;;;;0.1559;;0.1922;0.532047691345;;0.1922;;
;GB;1966;p0p90;;;13935.8159016;;;;;;;;;;0.337105102539;;;;
;GB;1966;p99.5p100;;154223.090068;1616695.6616;;;;;;;0.0321;;0.0532;0.217264461517;;0.0532;;
;GB;1966;p99.95p100;;397134.509361;;;;;;;;;;0.0137;;;0.0137;;
;GB;1965;p0p100;;14600.0624036;37322.9841985;;;;4.02961716964e+11;;;;;;;;;;
;GB;1965;p99p100;;124830.656721;1154625.86318;;;;;;;0.0547;;0.0855;0.309360542297;;0.0855;;
;GB;1965;p99.9p100;;332885.719566;3947544.4196;;;;;;;0.0093;;0.0228;0.105767116547;;0.0228;;
;GB;1965;p99.99p100;;905053.714905;;;;;;;;;;0.0062;;;0.0062;;
;GB;1965;p90p100;;43624.9775015;254390.654923;;;;;;;0.2575;;0.2988;0.681592483521;;0.2988;;
;GB;1965;p90p95;;28557.7161957;96873.0937043;;;;;;;;;0.0978;0.129776725769;;0.0978;;
;GB;1965;p95p99;;42157.6589673;226228.804381;;;;;;;;;0.1155;0.242455215454;;0.1155;;
;GB;1965;p99.5p99.9;;128115.292189;1156011.39411;;;;;;;;;0.0351;0.123892707825;;0.0351;;
;GB;1965;p99.95p99.99;;328495.854243;;;;;;;;;;0.009;;;0.009;;
;GB;1965;p99.9p99.95;;221937.041693;;;;;;;;;;0.0076;;;0.0076;;
;GB;1965;p99.9p99.99;;269298.866385;;;;;;;;;;0.0166;;;0.0166;;
;GB;1965;p99p99.5;;80592.423988;594933.727153;;;;;;;;;0.0276;0.079700717926;;0.0276;;
;GB;1965;p95p100;;58692.2388072;411908.216141;;;;;;;0.1595;;0.201;0.551815757751;;0.201;;
;GB;1965;p0p90;;;13204.3541181;;;;;;;;;;0.318407516479;;;;
;GB;1965;p99.5p100;;169068.889453;1714317.99921;;;;;;;0.0332;;0.0579;0.229659824371;;0.0579;;
;GB;1965;p99.95p100;;443821.171944;;;;;;;;;;0.0152;;;0.0152;;
;GB;1964;p0p100;;14290.3844578;37956.5505813;;;;3.92985580912e+11;;;;;;;;;;
;GB;1964;p99p100;;121182.5737;1217333.6046;;;;;;;0.0573;;0.0848;0.320717658997;;0.0848;;
;GB;1964;p99.9p100;;322966.841298;4235600.58851;;;;;;;0.0102;;0.0226;0.111590766907;;0.0226;;
;GB;1964;p99.99p100;;828704.769674;;;;;;;;;;0.0058;;;0.0058;;
;GB;1964;p90p100;;42742.5289923;259978.625471;;;;;;;0.2611;;0.2991;0.684937438965;;0.2991;;
;GB;1964;p90p95;;28123.4694272;94862.6495718;;;;;;;;;0.0984;0.124962158203;;0.0984;;
;GB;1964;p95p99;;41406.3660468;227034.850563;;;;;;;;;0.1159;0.239257621765;;0.1159;;
;GB;1964;p99.5p99.9;;125397.867348;1203670.99694;;;;;;;;;0.0351;0.126847248077;;0.0351;;
;GB;1964;p99.95p99.99;;325100.737646;;;;;;;;;;0.0091;;;0.0091;;
;GB;1964;p99.9p99.95;;220087.868693;;;;;;;;;;0.0077;;;0.0077;;
;GB;1964;p99.9p99.99;;266762.573213;;;;;;;;;;0.0168;;;0.0168;;
;GB;1964;p99p99.5;;77453.9563036;624610.293955;;;;;;;;;0.0271;0.0822796440125;;0.0271;;
;GB;1964;p95p100;;57361.5885574;425094.601371;;;;;;;0.1632;;0.2007;0.559975280762;;0.2007;;
;GB;1964;p0p90;;;13287.4311491;;;;;;;;;;0.315062561035;;;;
;GB;1964;p99.5p100;;164911.191097;1810056.91525;;;;;;;0.0353;;0.0577;0.238438014984;;0.0577;;
;GB;1964;p99.95p100;;425833.550346;;;;;;;;;;0.0149;;;0.0149;;
;GB;1963;p0p100;;13674.6917961;36276.5357967;;;;3.74686543401e+11;;;;;;;;;;
;GB;1963;p99p100;;116098.243805;1174734.45786;;;;;;;0.0572;;0.0849;0.323827629089;;0.0849;;
;GB;1963;p99.9p100;;304949.552465;4049844.48766;;;;;;;0.0102;;0.0223;0.111638126373;;0.0223;;
;GB;1963;p99.99p100;;779328.109422;;;;;;;;;;0.0057;;;0.0057;;
;GB;1963;p90p100;;40942.0173832;246484.463994;;;;;;;0.2647;;0.2994;0.679459762573;;0.2994;;
;GB;1963;p90p95;;26911.7869773;84999.6885236;;;;;;;;;0.0984;0.117155189514;;0.0984;;
;GB;1963;p95p99;;39690.7715562;216277.934865;;;;;;;;;0.1161;0.23847694397;;0.1161;;
;GB;1963;p99.5p99.9;;120678.910264;1182362.42622;;;;;;;;;0.0353;0.130372142792;;0.0353;;
;GB;1963;p99.95p99.99;;307675.356471;;;;;;;;;;0.009;;;0.009;;
;GB;1963;p99.9p99.95;;207870.381118;;;;;;;;;;0.0076;;;0.0076;;
;GB;1963;p99.9p99.99;;252230.351288;;;;;;;;;;0.0166;;;0.0166;;
;GB;1963;p99p99.5;;74663.8882422;593610.077217;;;;;;;;;0.0273;0.0818173599243;;0.0273;;
;GB;1963;p95p100;;54972.2477891;407969.239465;;;;;;;0.1692;;0.201;0.562304573059;;0.201;;
;GB;1963;p0p90;;;12920.0993303;;;;;;;;;;0.320540237427;;;;
;GB;1963;p99.5p100;;157532.599368;1755858.83851;;;;;;;0.036;;0.0576;0.242010269165;;0.0576;;
;GB;1963;p99.95p100;;402017.151614;;;;;;;;;;0.0147;;;0.0147;;
;GB;1962;p0p100;;13526.2249773;33539.5418316;;;;3.67913330466e+11;;;;;;;;;;
;GB;1962;p99p100;;114026.181403;1098890.44212;;;;;;;0.0575;;0.0843;0.327640266418;;0.0843;;
;GB;1962;p99.9p100;;309754.529353;4171173.45162;;;;;;;0.0106;;0.0229;0.124365844727;;0.0229;;
;GB;1962;p99.99p100;;784390.860558;;;;;;;;;;0.0058;;;0.0058;;
;GB;1962;p90p100;;39726.5119281;225887.734395;;;;;;;0.2573;;0.2937;0.673496780396;;0.2937;;
;GB;1962;p90p95;;26105.6070893;78110.8068346;;;;;;;;;0.0965;0.116445846558;;0.0965;;
;GB;1962;p95p99;;38177.7482126;192358.216913;;;;;;;;;0.1129;0.229410667419;;0.1129;;
;GB;1962;p99.5p99.9;;117339.759869;1033375.30413;;;;;;;;;0.0347;0.12324262619;;0.0347;;
;GB;1962;p99.95p99.99;;317860.895435;;;;;;;;;;0.0094;;;0.0094;;
;GB;1962;p99.9p99.95;;208318.956328;;;;;;;;;;0.0077;;;0.0077;;
;GB;1962;p99.9p99.99;;257006.680902;;;;;;;;;;0.0171;;;0.0171;;
;GB;1962;p99p99.5;;72230.1077925;536845.950617;;;;;;;;;0.0267;0.0800317955017;;0.0267;;
;GB;1962;p95p100;;53347.4167669;373664.661955;;;;;;;0.1647;;0.1972;0.557050933838;;0.1972;;
;GB;1962;p0p90;;;12167.5204356;;;;;;;;;;0.326503219604;;;;
;GB;1962;p99.5p100;;155822.255013;1660934.93363;;;;;;;0.0361;;0.0576;0.247608470917;;0.0576;;
;GB;1962;p99.95p100;;411178.010881;;;;;;;;;;0.0152;;;0.0152;;
;GB;1961;p0p100;;13323.1572349;32918.0172551;;;;3.5839292466e+11;;;;;;;;;;
;GB;1961;p99p100;;;1120301.67498;;;;;;;;;;0.340330848694;;;;
;GB;1961;p99.9p100;;;4313237.96612;;;;;;;;;;0.131029701233;;;;
;GB;1961;p90p100;;;228319.244119;;;;;;;;;;0.693599624634;;;;
;GB;1961;p90p95;;;75331.2319665;;;;;;;;;;0.114422492981;;;;
;GB;1961;p95p99;;;196558.651594;;;;;;;;;;0.238846282959;;;;
;GB;1961;p99.5p99.9;;;1042471.00859;;;;;;;;;;0.126674823761;;;;
;GB;1961;p99p99.5;;;543978.949857;;;;;;;;;;0.0826263237;;;;
;GB;1961;p95p100;;;381307.256271;;;;;;;;;;0.579177131653;;;;
;GB;1961;p0p90;;;11206.7698259;;;;;;;;;;0.306400375366;;;;
;GB;1961;p99.5p100;;;1696624.4001;;;;;;;;;;0.257704524994;;;;
;GB;1960;p0p100;;12524.4259088;31831.5226833;;;;3.34402165117e+11;;;;;;;;;;
;GB;1960;p99p100;;111091.758792;1115506.51152;;;;;;;;;0.0887;0.350440826416;;0.0887;;
;GB;1960;p99.9p100;;306852.371655;4335854.9749;;;;;;;;;0.0245;0.136212615967;;0.0245;;
;GB;1960;p99.99p100;;788907.886145;;;;;;;;;;0.0063;;;0.0063;;
;GB;1960;p90p100;;;224543.983888;;;;;;;;;;0.705413894653;;;;
;GB;1960;p90p95;;;72728.8802365;;;;;;;;;;0.114240341187;;;;
;GB;1960;p95p99;;;191572.231543;;;;;;;;;;0.240732727051;;;;
;GB;1960;p99.5p99.9;;113658.929706;1032063.45287;;;;;;;;;0.0363;0.129690742493;;0.0363;;
;GB;1960;p99.95p99.99;;313105.333568;;;;;;;;;;0.01;;;0.01;;
;GB;1960;p99.9p99.95;;205415.464083;;;;;;;;;;0.0082;;;0.0082;;
;GB;1960;p99.9p99.99;;253280.005716;;;;;;;;;;0.0182;;;0.0182;;
;GB;1960;p99p99.5;;69886.3600966;538191.265769;;;;;;;;;0.0279;0.0845374679565;;0.0279;;
;GB;1960;p95p100;;;376359.087539;;;;;;;;;;0.591173553467;;;;
;GB;1960;p0p90;;;10419.0269939;;;;;;;;;;0.294586105347;;;;
;GB;1960;p99.5p100;;152297.157487;1692821.75727;;;;;;;;;0.0608;0.265903358459;;0.0608;;
;GB;1960;p99.95p100;;408277.18757;;;;;;;;;;0.0163;;;0.0163;;
;GB;1959;p0p100;;12103.3545442;32906.3717625;;;;3.20738899865e+11;;;;;;;;;;
;GB;1959;p99p100;;104088.951594;1187725.40225;;;;;;;0.0551;;0.086;0.360940856934;;0.086;;
;GB;1959;p99.9p100;;278380.747243;4844233.19466;;;;;;;0.0095;;0.023;0.147212619781;;0.023;;
;GB;1959;p99.99p100;;726080.809944;;;;;;;;;;0.006;;;0.006;;
;GB;1959;p90p100;;36261.6427003;235739.437697;;;;;;;0.2591;;0.2996;0.716394500732;;0.2996;;
;GB;1959;p90p95;;23480.5029501;78528.3879912;;;;;;;;;0.097;0.11932094574;;0.097;;
;GB;1959;p95p99;;35281.2606707;194256.75869;;;;;;;;;0.1166;0.236132698059;;0.1166;;
;GB;1959;p99.5p99.9;;107417.057244;1052105.05426;;;;;;;;;0.0355;0.127890739441;;0.0355;;
;GB;1959;p99.95p99.99;;278372.450991;;;;;;;;;;0.0092;;;0.0092;;
;GB;1959;p99.9p99.95;;188826.022748;;;;;;;;;;0.0078;;;0.0078;;
;GB;1959;p99.9p99.99;;228626.412174;;;;;;;;;;0.017;;;0.017;;
;GB;1959;p99p99.5;;66568.5155546;564920.122169;;;;;;;;;0.0275;0.0858374977112;;0.0275;;
;GB;1959;p95p100;;49042.7824504;392950.487403;;;;;;;0.1621;;0.2026;0.597073554993;;0.2026;;
;GB;1959;p0p90;;;10369.3644364;;;;;;;;;;0.283605499268;;;;
;GB;1959;p99.5p100;;141609.387634;1810530.68234;;;;;;;0.0333;;0.0585;0.275103359222;;0.0585;;
;GB;1959;p99.95p100;;367924.796482;;;;;;;;;;0.0152;;;0.0152;;
;GB;1958;p0p100;;11424.586265;30409.3407506;;;;2.99895384051e+11;;;;;;;;;;
;GB;1958;p99p100;;100079.471192;1072818.88409;;;;;;;;;0.0876;0.352792549133;;0.0876;;
;GB;1958;p99.9p100;;271908.654007;4593268.13986;;;;;;;;;0.0238;0.151047935486;;0.0238;;
;GB;1958;p99.99p100;;685361.447944;;;;;;;;;;0.006;;;0.006;;
;GB;1958;p90p100;;;219076.108902;;;;;;;;;;0.720423736572;;;;
;GB;1958;p90p95;;;76742.6133372;;;;;;;;;;0.126182632446;;;;
;GB;1958;p95p99;;;183557.284563;;;;;;;;;;0.241448554993;;;;
;GB;1958;p99.5p99.9;;102821.068082;915565.701312;;;;;;;;;0.036;0.120432167053;;0.036;;
;GB;1958;p99.95p99.99;;277041.527433;;;;;;;;;;0.0097;;;0.0097;;
;GB;1958;p99.9p99.95;;185091.712927;;;;;;;;;;0.0081;;;0.0081;;
;GB;1958;p99.9p99.99;;225960.327083;;;;;;;;;;0.0178;;;0.0178;;
;GB;1958;p99p99.5;;63520.7602546;494531.579149;;;;;;;;;0.0278;0.0813124465942;;0.0278;;
;GB;1958;p95p100;;;361409.604467;;;;;;;;;;0.594241104126;;;;
;GB;1958;p0p90;;;9446.36651149;;;;;;;;;;0.279576263428;;;;
;GB;1958;p99.5p100;;136638.18213;1651106.18902;;;;;;;;;0.0598;0.271480102539;;0.0598;;
;GB;1958;p99.95p100;;358715.246186;;;;;;;;;;0.0157;;;0.0157;;
;GB;1957;p0p100;;11547.3180851;28440.1816431;;;;3.01385004594e+11;;;;;;;;;;
;GB;1957;p99p100;;100461.762161;1040028.57549;;;;;;;;;0.087;0.365689849854;;0.087;;
;GB;1957;p99.9p100;;273674.959385;4556691.14513;;;;;;;;;0.0237;0.160220184326;;0.0237;;
;GB;1957;p99.99p100;;681178.725986;;;;;;;;;;0.0059;;;0.0059;;
;GB;1957;p90p100;;;205955.805337;;;;;;;;;;0.724171905518;;;;
;GB;1957;p90p95;;;72282.9591578;;;;;;;;;;0.127078933716;;;;
;GB;1957;p95p99;;;164528.670525;;;;;;;;;;0.231403121948;;;;
;GB;1957;p99.5p99.9;;103636.968769;881193.468891;;;;;;;;;0.0359;0.123936405182;;0.0359;;
;GB;1957;p99.95p99.99;;282904.501378;;;;;;;;;;0.0098;;;0.0098;;
;GB;1957;p99.9p99.95;;184770.479572;;;;;;;;;;0.008;;;0.008;;
;GB;1957;p99.9p99.99;;228387.766832;;;;;;;;;;0.0178;;;0.0178;;
;GB;1957;p99p99.5;;63279.3628327;463764.146836;;;;;;;;;0.0274;0.0815332603455;;0.0274;;
;GB;1957;p95p100;;;339628.651517;;;;;;;;;;0.597092971802;;;;
;GB;1957;p0p90;;;8716.22345483;;;;;;;;;;0.275828094482;;;;
;GB;1957;p99.5p100;;137644.16149;1616293.00414;;;;;;;;;0.0596;0.284156589508;;0.0596;;
;GB;1957;p99.95p100;;362568.841453;;;;;;;;;;0.0157;;;0.0157;;
;GB;1956;p0p100;;11538.9717105;26994.9188479;;;;3.01744103983e+11;;;;;;;;;;
;GB;1956;p99p100;;100966.096239;1023271.40562;;;;;;;;;0.0875;0.379060745239;;0.0875;;
;GB;1956;p99.9p100;;279246.703625;4192330.64815;;;;;;;;;0.0242;0.155300731659;;0.0242;;
;GB;1956;p99.99p100;;703760.475254;;;;;;;;;;0.0061;;;0.0061;;
;GB;1956;p90p100;;;199638.002723;;;;;;;;;;0.73953918457;;;;
;GB;1956;p90p95;;;65013.2022624;;;;;;;;;;0.120417480469;;;;
;GB;1956;p95p99;;;162010.652576;;;;;;;;;;0.240060958862;;;;
;GB;1956;p99.5p99.9;;104139.006048;889925.399639;;;;;;;;;0.0361;0.131865615845;;0.0361;;
;GB;1956;p99.95p99.99;;285584.708419;;;;;;;;;;0.0099;;;0.0099;;
;GB;1956;p99.9p99.95;;189252.84824;;;;;;;;;;0.0082;;;0.0082;;
;GB;1956;p99.9p99.99;;232069.134991;;;;;;;;;;0.0181;;;0.0181;;
;GB;1956;p99p99.5;;62772.0644047;496136.36189;;;;;;;;;0.0272;0.0918943977356;;0.0272;;
;GB;1956;p95p100;;;334262.803184;;;;;;;;;;0.619121704102;;;;
;GB;1956;p0p90;;;7812.35397287;;;;;;;;;;0.26046081543;;;;
;GB;1956;p99.5p100;;139160.128074;1550406.44934;;;;;;;;;0.0603;0.287166347504;;0.0603;;
;GB;1956;p99.95p100;;369229.831407;;;;;;;;;;0.016;;;0.016;;
;GB;1955;p0p100;;11303.7793869;27283.4917475;;;;2.96159022948e+11;;;;;;;;;;
;GB;1955;p99p100;;105125.250234;1033015.46117;;;;;;;;;0.093;0.378622894287;;0.093;;
;GB;1955;p99.9p100;;299554.015181;4298798.5499;;;;;;;;;0.0265;0.157560424805;;0.0265;;
;GB;1955;p99.99p100;;768529.481329;;;;;;;;;;0.0068;;;0.0068;;
;GB;1955;p90p100;;;205504.67108;;;;;;;;;;0.753219833374;;;;
;GB;1955;p90p95;;;71871.7013307;;;;;;;;;;0.131712799072;;;;
;GB;1955;p95p99;;;165668.185743;;;;;;;;;;0.242884140015;;;;
;GB;1955;p99.5p99.9;;108233.470018;897561.819173;;;;;;;;;0.0383;0.131590461731;;0.0383;;
;GB;1955;p99.95p99.99;;308022.779094;;;;;;;;;;0.0109;;;0.0109;;
;GB;1955;p99.9p99.95;;198960.940929;;;;;;;;;;0.0088;;;0.0088;;
;GB;1955;p99.9p99.99;;247435.276708;;;;;;;;;;0.0197;;;0.0197;;
;GB;1955;p99p99.5;;63753.3775613;488221.757025;;;;;;;;;0.0282;0.0894720077515;;0.0282;;
;GB;1955;p95p100;;;339137.640828;;;;;;;;;;0.621507034302;;;;
;GB;1955;p0p90;;;7481.13848844;;;;;;;;;;0.246780166626;;;;
;GB;1955;p99.5p100;;146497.122907;1577809.16532;;;;;;;;;0.0648;0.289150886536;;0.0648;;
;GB;1955;p99.95p100;;400135.098364;;;;;;;;;;0.0177;;;0.0177;;
;GB;1954;p0p100;;10805.7341402;27992.0756738;;;;2.83650529629e+11;;;;;;;;;;
;GB;1954;p99p100;;104491.5464;1145742.25441;;;;;;;0.0568;;0.0967;0.409309501648;;0.0967;;
;GB;1954;p99.9p100;;293919.745999;4513714.7277;;;;;;;0.0097;;0.0272;0.161249732971;;0.0272;;
;GB;1954;p99.99p100;;723864.053338;;;;;;;;;;0.0067;;;0.0067;;
