Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;BR;2004;p56p100;50200.1656698;67858.1513511;3.50024414062;3.73571252823;18164.7148438;0.8534290253;0.8556731746;14341.9042969
;BR;2004;p57p100;51029.5893437;69008.3124007;3.46357536316;3.70091819763;18646.2675781;0.8478130776;0.8503996621;14733.2119141
;BR;2004;p58p100;51888.8521826;70201.2029485;3.4246840477;3.66123819351;19174.1699219;0.842040415;0.8449812284;15151.4277344
;BR;2004;p59p100;52779.6461216;71439.0186821;3.38738942146;3.62093138695;19729.4589844;0.8361032529;0.839406936;15581.2158203
;BR;2004;p60p100;53704.3651371;72724.8629807;3.35762858391;3.58688187599;20275.2324219;0.8300020416;0.8336737356;15994.7304688
;BR;2004;p61p100;54666.4750034;74063.2747983;3.34113264084;3.56595230103;20769.5644531;0.8237496822;0.8277910652;16361.6601562
;BR;2004;p62p100;55670.0728027;75459.6873826;3.33470416069;3.55510640144;21225.71875;0.8173629884;0.8217728991;16694.15625
;BR;2004;p63p100;56719.1225714;76919.4384149;3.33315134048;3.54908633232;21673.0253906;0.8108505399;0.8156259698;17016.6660156
;BR;2004;p64p100;57817.354834;78447.6529407;3.33181762695;3.54326295853;22139.9472656;0.804211542;0.8093486969;17353.0976562
;BR;2004;p65p100;58968.2651564;80049.2590302;3.32673001289;3.53379321098;22652.5019531;0.7974362568;0.8029316497;17725.59375
;BR;2004;p66p100;60175.155155;81729.0613242;3.31491875648;3.51794338226;23232.0566406;0.7905069966;0.7963585451;18152.8300781
;BR;2004;p67p100;61441.2424204;83491.9071082;3.29485583305;3.49451518059;23892.2714844;0.7833998992;0.7896079961;18647.6269531
;BR;2004;p68p100;62769.8788663;85342.9964066;3.26693892479;3.4643163681;24634.8730469;0.7760877907;0.7826562933;19213.6679688
;BR;2004;p69p100;64164.9359432;87288.412063;3.23395609856;3.43062520027;25443.8789062;0.7685445394;0.77548161;19841.0039062
;BR;2004;p70p100;65631.4427518;89335.9815238;3.20154762268;3.39968323708;26277.7363281;0.7607514492;0.7680701453;20499.9121094
;BR;2004;p71p100;67176.4633987;91496.4494156;3.17630910873;3.37867236137;27080.5917969;0.7527048533;0.7604233703;21149.2207031
;BR;2004;p72p100;68808.8299182;93783.1340125;3.15761399269;3.3668243885;27855.0722656;0.7444092937;0.7525510908;21791.4003906
;BR;2004;p73p100;70538.1924003;96210.6931308;3.14285898209;3.36117100716;28624.1582031;0.7358641965;0.7444582106;22443.9570312
;BR;2004;p74p100;72374.9827453;98795.1057306;3.12961244583;3.35884976387;29413.375;0.7270619276;0.7361426747;23125.8613281
;BR;2004;p75p100;74330.5230707;101553.843479;3.11567592621;3.35712265968;30250.2636719;0.7179873291;0.7275948055;23856.9492188
;BR;2004;p76p100;76417.1955525;104506.117894;3.09922790527;3.3534989357;31163.3066406;0.708617575;0.7187968636;24656.8496094
;BR;2004;p77p100;78648.7183121;107673.255545;3.07905244827;3.34596729279;32180.0078125;0.6989225745;0.7097230281;25543.15625
;BR;2004;p78p100;81040.6032283;111079.29116;3.05485320091;3.33334946632;33323.625;0.6888662826;0.7003401051;26528.4765625
;BR;2004;p79p100;83610.9246069;114751.932594;3.02765965462;3.31578445435;34607.7773438;0.6784094723;0.6906094546;27615.6953125
;BR;2004;p80p100;86381.6183833;118724.162159;3.00034999847;3.29535722733;36027.7070312;0.6675148233;0.6804909058;28790.5136719
;BR;2004;p81p100;89380.5002629;123036.758423;2.97691869736;3.27574133873;37559.9726562;0.6561542775;0.6699489302;30024.5019531
;BR;2004;p82p100;92642.3295375;127740.302352;2.95765209198;3.25819277763;39205.875;0.6443050785;0.6589518193;31322.9296875
;BR;2004;p83p100;96209.1432734;132896.742165;2.9416205883;3.24312376976;40978.0039062;0.6319385525;0.6474652622;32706.1699219
;BR;2004;p84p100;100132.047084;138582.637941;2.92782402039;3.23097062111;42891.953125;0.6190171193;0.635450935;34200.1601562
;BR;2004;p85p100;104473.822617;144893.79142;2.91518759727;3.22217965126;44967.6328125;0.6054918849;0.6228654655;35837.7695312
;BR;2004;p86p100;109312.547738;151951.738102;2.90258908272;3.21717238426;47231.4570312;0.5912996671;0.6096589086;37660.359375
;BR;2004;p87p100;114746.765805;159913.020231;2.88894033432;3.21627879143;49719.8867188;0.5763594101;0.5957724199;39719.328125
;BR;2004;p88p100;120903.125896;168982.700458;2.87336707115;3.2195982933;52485.6484375;0.5605680715;0.5811345668;42077.1601562
;BR;2004;p89p100;127948.167588;179434.487653;2.8555688858;3.22673153877;55608.7421875;0.5437964123;0.5656552478;44806.5429688
;BR;2004;p91p100;145698.514679;206124.212618;2.81870293617;3.24568510056;63507.1484375;0.5066490308;0.5316486747;51689.9140625
;BR;2004;p92p100;157183.850411;223636.808735;2.80330896378;3.25446343422;68716.953125;0.4858559129;0.5127273565;56070.8242188
;BR;2004;p93p100;171263.308639;245323.730638;2.79105591774;3.26285791397;75186.765625;0.463203628;0.4921424386;61361.4726562
;BR;2004;p94p100;189054.032242;273020.832731;2.78302764893;3.27142763138;83456.171875;0.4382750797;0.4694617938;67931.0625
;BR;2004;p95p100;212470.431113;309891.292969;2.78089261055;3.28129768372;94441.6875;0.4104668474;0.4440507366;76403.6796875
;BR;2004;p96p100;245126.880018;361946.178281;2.78733062744;3.29476118088;109855.054688;0.3788440853;0.4149131537;87943.234375
;BR;2004;p97p100;294881.654836;442366.620762;2.80679440498;3.3167321682;133374.234375;0.3418051423;0.3803267048;105059.9375
;BR;2004;p98p100;383198.072758;587620.512107;2.84616613388;3.35842704773;174968.96875;0.2961166955;0.3368062636;134636.578125
;BR;2004;p0p90;13634.232745;17477.2663264;;;0.0;0.4741140169;0.4507847653;0.0
;BR;2004;p0p99;20058.8239236;25564.3652011;;;0.0;0.7672735782;0.7253095974;0.0
;BR;2004;p99.1p100;645393.855097;1032913.01945;2.90320611;3.4492866993;299457.0;0.2244279373;0.2664154933;222303.84375
;BR;2004;p99.1p99.2;230817.722833;311632.758175;;;299457.0;0.0089182314;0.0089309225;222303.84375
;BR;2004;p99.2p100;697215.870331;1123073.05128;2.90621495247;3.45923471451;324659.40625;0.2155097055;0.2574845706;239905.125
;BR;2004;p99.2p99.3;250346.028356;339701.887424;;;324659.40625;0.0096727572;0.0097353412;239905.125
;BR;2004;p99.3p100;761054.41999;1234983.21645;2.90936517715;3.46962285042;355941.625;0.2058369485;0.2477492292;261587.796875
;BR;2004;p99.3p99.4;274764.955156;375087.290142;;;355941.625;0.0106162447;0.0107494332;261587.796875
;BR;2004;p99.4p100;842102.664638;1378299.20226;2.91268372536;3.48053002357;396002.6875;0.1952207039;0.2369997957;289115.71875
;BR;2004;p99.4p99.5;306393.725433;421354.859556;;;396002.6875;0.0118383029;0.0120753916;289115.71875
;BR;2004;p99.5p100;949244.454326;1569688.07253;2.91620922089;3.49206376076;449501.5625;0.1833824013;0.2249244044;325506.28125
;BR;2004;p99.5p99.6;349402.513636;484980.52216;;;449501.5625;0.0135000572;0.0138988066;325506.28125
;BR;2004;p99.6p100;1099204.94112;1840864.96356;2.91999936104;3.50438308716;525303.5625;0.1698823444;0.2110255981;376440.125
;BR;2004;p99.6p99.7;412238.329217;579241.981102;;;525303.5625;0.0159278791;0.0166001972;376440.125
;BR;2004;p99.7p100;1328193.81796;2261405.96562;2.92414665222;3.51774191856;642857.25;0.153954466;0.1944254016;454215.875
;BR;2004;p99.7p99.8;515510.184096;737049.061867;;;642857.25;0.0199180506;0.0211227089;454215.875
;BR;2004;p99.8p100;1734535.62299;3023584.4024;2.92882442474;3.53260135651;855908.75;0.1340364144;0.1733026918;592229.3125
;BR;2004;p99.8p99.9;730416.08105;1074794.97095;;;855908.75;0.028221488;0.0308019947;592229.3125
;BR;2004;p99.91p100;2935644.00281;5363343.4865;2.93510365486;3.5520222187;1509940.875;0.1020834833;0.1383347653;1000184.0625
;BR;2004;p99.91p99.92;1039131.55961;1573909.3694;;;1509940.875;0.0040149498;0.0045105857;1000184.0625
;BR;2004;p99.92p100;3172708.05958;5837022.74258;2.93578314781;3.55407118797;1642348.25;0.0980685335;0.1338241794;1080702.5
;BR;2004;p99.92p99.93;1128465.25473;1721377.93034;;;1642348.25;0.0043601133;0.0049332082;1080702.5
;BR;2004;p99.93p100;3464742.73812;6424972.00027;2.93649196625;3.55619668961;1806697.625;0.09370842;0.1288909711;1179891.75
;BR;2004;p99.93p99.94;1240171.75367;1907284.42781;;;1806697.625;0.0047917198;0.0054659881;1179891.75
;BR;2004;p99.94p100;3835504.57714;7177919.93258;2.93723726273;3.55841302872;2017168.875;0.0889167004;0.1234249831;1305820.5
;BR;2004;p99.94p99.95;1384860.10537;2150363.05202;;;2017168.875;0.0053507602;0.0061626146;1305820.5
;BR;2004;p99.95p100;4325633.47696;8183431.30889;2.93802690506;3.56073951721;2298239.25;0.0835659403;0.1172623686;1472292.0
;BR;2004;p99.95p99.96;1581607.3629;2484636.98499;;;2298239.25;0.0061109434;0.007120593;1472292.0
;BR;2004;p99.96p100;5011640.01672;9608129.87443;2.9388730526;3.56320571899;2696484.75;0.0774549971;0.1101417754;1705293.125
;BR;2004;p99.96p99.97;1869054.89633;2979864.05969;;;2696484.75;0.0072215702;0.0085398387;1705293.125
;BR;2004;p99.97p100;6059168.40505;11817551.7765;2.93979597092;3.56585788727;3314083.75;0.070233427;0.1016019364;2061084.75
;BR;2004;p99.97p99.98;2341480.62952;3808945.2026;;;3314083.75;0.0090469075;0.0109158596;2061084.75
;BR;2004;p99.98p100;7918012.30182;15821855.0982;2.94083309174;3.56878137589;4433405.5;0.0611865196;0.090686077;2692438.5
;BR;2004;p99.98p99.99;3324585.26977;5583381.10496;;;4433405.5;0.012845383;0.0160011239;2692438.5
;BR;2004;p99.991p100;13412581.0454;28114390.0486;2.94221949577;3.57256102562;7869534.0;0.0466406346;0.0725144223;4558661.0
;BR;2004;p99.991p99.992;4736829.41705;8205609.26737;;;7869534.0;0.0018301948;0.0023516032;4558661.0
;BR;2004;p99.992p100;14497050.0063;30602987.6356;2.94236898422;3.57295703888;8565171.0;0.0448104398;0.0701628191;4926999.5
;BR;2004;p99.992p99.993;5145494.19599;8980373.49393;;;8565171.0;0.0019880929;0.0025736389;4926999.5
;BR;2004;p99.993p100;15832986.5827;33691932.4967;2.94252514839;3.57336711884;9428623.0;0.042822347;0.0675891801;5380748.0
;BR;2004;p99.993p99.994;5656504.2931;9957081.4595;;;9428623.0;0.0021855347;0.0028535486;5380748.0
;BR;2004;p99.994p100;17529067.0083;37647740.9544;2.94268894196;3.57379436493;10534389.0;0.0406368124;0.0647356314;5956819.5
;BR;2004;p99.994p99.995;6318392.66948;11234158.4661;;;10534389.0;0.0024412721;0.0032195395;5956819.5
;BR;2004;p99.995p100;19771201.8386;42930457.3761;2.94286251068;3.57424235344;12011065.0;0.0381955402;0.0615160918;6718357.5
;BR;2004;p99.995p99.996;7218429.34951;12990354.1368;;;12011065.0;0.0027890243;0.0037228386;6718357.5
;BR;2004;p99.996p100;22909394.9897;50415483.0908;2.94304823875;3.57471632957;14103352.0;0.035406516;0.0577932531;7784240.5
;BR;2004;p99.996p99.997;8533381.59885;15592158.9008;;;14103352.0;0.0032970896;0.0044684764;7784240.5
;BR;2004;p99.997p100;27701399.4727;62023257.6415;2.94325065613;3.57522535324;17348070.0;0.0321094264;0.0533247765;9411838.0
;BR;2004;p99.997p99.998;10694531.6567;19947951.9582;;;17348070.0;0.004132105;0.0057167807;9411838.0
;BR;2004;p99.998p100;36204833.2561;83060910.137;2.94347834587;3.57578539848;23228718.0;0.0279773212;0.0476079957;12300017.0
;BR;2004;p99.998p99.999;15191824.9777;29270416.929;;;23228718.0;0.005869749;0.0083884578;12300017.0
;BR;2004;p99.99p99.991;4401164.44492;7573777.79494;;;7295363.0;0.0017005021;0.0021705299;4252589.5
;BR;2004;p99.9p99.91;965755.488122;1453646.71265;;;1400653.25;0.0037314426;0.0041659311;933277.0625
;BR;2004;p99p99.1;214777.783772;288741.971824;;;278655.21875;0.0082984874;0.0082749072;207678.03125
;BR;2003;p0p100;25835.074949;33533.2729487;;;0.0;1.0;1.0;0.0
;BR;2003;p0p50;5868.8652648;7514.03450787;;;0.0;0.1135832831;0.1120384896;0.0
;BR;2003;p50p90;22962.3793849;27922.5928933;;;14674.2226562;0.3555225511;0.3330732784;11798.2226562
;BR;2003;p90p99;85643.9267057;104699.947875;;;58420.90625;0.2983593941;0.2810111046;48838.734375
;BR;2003;p99p100;600755.293251;918399.717155;2.83043789864;3.26566386223;281229.09375;0.2325347592;0.273877149;212248.171875
;BR;2003;p99.9p100;2668645.93401;4562980.52677;2.84206318855;3.30753231049;1379572.5;0.1032954589;0.1360732238;938981.9375
;BR;2003;p99.99p100;11875056.2771;22771898.3572;2.84469461441;3.31609869003;6867075.0;0.0459648604;0.067908369;4174457.5
;BR;2003;p99.999p100;52862712.8194;113746610.094;2.84528660774;3.31782102585;34283528.0;0.0204616061;0.0339205213;18579046.0
;BR;2003;p0p10;76.4723066314;805.121600512;;;0.0;0.0002960019;0.0024009634;0.0
;BR;2003;p10p20;3566.35371476;4785.00765711;;;2363.89770508;0.0138043095;0.0142694322;1375.73901367
;BR;2003;p20p30;6446.84147957;8100.56404196;;;6591.91259766;0.0249538331;0.0241567951;5132.15136719
;BR;2003;p30p40;8665.10807191;10735.8604236;;;10209.2636719;0.0335400926;0.032015546;8254.43359375
;BR;2003;p40p50;10589.5507511;13143.6188162;;;11576.2431641;0.040989046;0.0391957529;9286.23828125
;BR;2003;p50p60;13700.9295118;16800.0932698;;;14674.2226562;0.0530322809;0.0500997719;11798.2226562
;BR;2003;p60p70;17636.5362079;21702.667779;;;19113.8144531;0.0682658604;0.0647198018;15620.3701172
;BR;2003;p70p80;23864.006155;29097.3899322;;;25084.9296875;0.0923705706;0.0867716968;20203.7773438
;BR;2003;p80p90;36648.0456648;44090.220592;;;34739.0117188;0.1418538392;0.1314820079;28890.5195312
;BR;2003;p90p100;137156.905801;186072.184715;2.80836319923;3.18502736092;58420.90625;0.5308941663;0.5548882275;48838.734375
;BR;2003;p0p1;4.0486658845;36.1315837732;;;0.0;1.5671e-06;1.07748e-05;0.0
;BR;2003;p1p2;12.1459976534;115.610852352;;;73.5933837891;4.7014e-06;3.44765e-05;8.0973320007
;BR;2003;p2p3;20.2433282476;214.195607126;;;160.827438355;7.8356e-06;6.38755e-05;16.1946640015
;BR;2003;p3p4;28.3406600165;342.183232419;;;272.482879639;1.09698e-05;0.0001020429;24.2919960022
;BR;2003;p4p5;36.4379917855;508.748517671;;;418.336151123;1.41041e-05;0.0001517145;32.3893280029
;BR;2003;p5p6;44.5353259042;721.684860783;;;606.917297363;1.72383e-05;0.0002152146;40.4866600037
;BR;2003;p6p7;52.6326553234;987.108788049;;;845.233764648;2.03726e-05;0.000294367;48.5839920044
;BR;2003;p7p8;60.7299894421;1309.12513125;;;1138.45556641;2.35068e-05;0.0003903959;56.6813240051
;BR;2003;p8p9;68.8273188614;1689.44843353;;;1489.5592041;2.6641e-05;0.0005038126;64.7786560059
;BR;2003;p9p10;436.781133195;2126.97899816;;;1898.92687988;0.0001690652;0.0006342891;72.8759841919
;BR;2003;p10p11;1622.29791385;2616.66181167;;;2363.89770508;0.000627944;0.000780318;1375.73901367
;BR;2003;p11p12;2121.01249416;3143.07867303;;;2875.6484375;0.0008209817;0.0009373015;1870.97668457
;BR;2003;p12p13;2615.62997332;3683.39652868;;;3412.79101562;0.0010124337;0.0010984304;2370.33642578
;BR;2003;p13p14;3090.95355731;4216.13342563;;;3952.69384766;0.0011964175;0.0012572985;2857.6706543
;BR;2003;p14p15;3534.01703758;4722.52249458;;;4475.12548828;0.0013679144;0.0014083094;3318.81396484
;BR;2003;p15p16;3934.61533143;5187.19569819;;;4962.89794922;0.0015229742;0.0015468802;3742.08691406
;BR;2003;p16p17;4285.89863314;5598.94487429;;;5402.58935547;0.0016589457;0.0016696685;4118.85791016
;BR;2003;p17p18;4585.03318334;5951.57861706;;;5785.34863281;0.0017747319;0.0017748278;4444.16894531
;BR;2003;p18p19;4833.94113827;6244.87909522;;;6107.80224609;0.0018710769;0.0018622933;4717.43359375
;BR;2003;p19p20;5040.13788522;6485.68535279;;;6373.06884766;0.0019508896;0.0019341045;4943.22167969
;BR;2003;p20p21;5217.94651084;6689.53602259;;;6591.91259766;0.0020197141;0.0019948951;5132.15136719
;BR;2003;p21p22;5390.48161314;6883.98598349;;;6785.57177734;0.0020864974;0.0020528822;5302.85888672
;BR;2003;p22p23;5583.01604285;7100.33931115;;;6986.16357422;0.0021610218;0.0021174012;5481.53125
;BR;2003;p23p24;5815.66401766;7363.74654218;;;7222.49755859;0.002251073;0.0021959522;5691.30126953
;BR;2003;p24p25;6101.59521016;7690.92759526;;;7515.79589844;0.0023617486;0.0022935213;5949.04785156
;BR;2003;p25p26;6445.50508323;8088.31434948;;;7877.96728516;0.002494866;0.0024120265;6263.97509766
;BR;2003;p26p27;6841.86627222;8549.90590382;;;8309.609375;0.0026482858;0.0025496783;6635.97998047
;BR;2003;p27p28;7272.92191522;9054.82168365;;;8797.71679688;0.0028151348;0.0027002499;7053.77587891
;BR;2003;p28p29;7706.41431457;9564.50554863;;;9313.06640625;0.002982927;0.0028522434;7492.7578125
;BR;2003;p29p30;8093.00381583;10019.5574794;;;9807.24511719;0.0031325645;0.002987945;7912.58544922
;BR;2003;p30p31;8366.79032533;10341.1373792;;;10209.2636719;0.0032385392;0.0030838437;8254.43359375
;BR;2003;p31p32;8506.28936347;10505.1705952;;;10445.0996094;0.0032925352;0.0031327603;8455.25390625
;BR;2003;p32p33;8561.08299716;10569.794662;;;10548.8867188;0.0033137442;0.0031520319;8543.41894531
;BR;2003;p33p34;8578.05788346;10591.1436911;;;10583.7636719;0.0033203147;0.0031583984;8572.71191406
;BR;2003;p34p35;8587.93724323;10608.8434602;;;10598.2597656;0.0033241387;0.0031636767;8582.55566406
;BR;2003;p35p36;8603.06185489;10643.4208611;;;10622.3925781;0.003329993;0.0031739881;8594.3046875
;BR;2003;p36p37;8641.85205661;10717.9113586;;;10670.7460938;0.0033450075;0.003196202;8615.3046875
;BR;2003;p37p38;8739.42336621;10866.7510365;;;10777.8798828;0.0033827745;0.0032405877;8678.56152344
;BR;2003;p38p39;8913.28121035;11103.559426;;;10970.7978516;0.0034500698;0.0033112066;8813.45800781
;BR;2003;p39p40;9153.30441836;11410.871766;;;11248.7089844;0.0035429758;0.0034028506;9024.70019531
;BR;2003;p40p41;9422.77081328;11741.068104;;;11576.2431641;0.0036472783;0.0035013189;9286.23828125
;BR;2003;p41p42;9700.85818872;12068.3639284;;;11905.4179688;0.0037549178;0.0035989222;9560.95898438
;BR;2003;p42p43;9979.68964405;12390.295169;;;12230.4033203;0.0038628452;0.0036949257;9840.85546875
;BR;2003;p43p44;10251.5236206;12705.0621802;;;12548.9775391;0.0039680642;0.0037887928;10117.3222656
;BR;2003;p44p45;10510.7316983;13011.8662472;;;12859.7988281;0.0040683961;0.0038802852;10383.5742188
;BR;2003;p45p46;10754.4626738;13311.193001;;;13162.6601562;0.0041627372;0.0039695478;10635.25
;BR;2003;p46p47;10983.4504012;13605.1481441;;;13458.7958984;0.0042513716;0.0040572085;10871.1425781
;BR;2003;p47p48;11202.9846447;13897.8665677;;;13751.2519531;0.0043363469;0.0041445005;11094.0869141
;BR;2003;p48p49;11424.0876517;14196.0018858;;;14045.3320312;0.0044219294;0.0042334078;11312.0234375
;BR;2003;p49p50;11664.9481751;14509.3229343;;;14349.1396484;0.0045151594;0.0043268437;11539.296875
;BR;2003;p50p51;11950.3752941;14850.4701749;;;14674.2226562;0.0046256399;0.0044285776;11798.2226562
;BR;2003;p51p52;12289.4230833;15225.542884;;;15032.5214844;0.0047568753;0.0045404285;12111.8115234
;BR;2003;p52p53;12669.8109163;15631.4523855;;;15423.7119141;0.0049041123;0.0046614753;12473.9228516
;BR;2003;p53p54;13077.3068367;16063.7358703;;;15843.5976562;0.005061842;0.0047903871;12870.2089844
;BR;2003;p54p55;13498.2094285;16517.3793148;;;16287.4453125;0.0052247611;0.0049256687;13286.6201172
;BR;2003;p55p56;13919.9228688;16986.7768812;;;16749.9492188;0.005387994;0.0050656484;13709.9023438
;BR;2003;p56p57;14331.6967974;17465.7199869;;;17225.2070312;0.0055473796;0.0052084746;14128.2412109
;BR;2003;p57p58;14725.5707024;17947.3660746;;;17706.6933594;0.0056998366;0.0053521069;14532.1025391
;BR;2003;p58p59;15097.5950054;18424.2417349;;;18187.2539062;0.0058438363;0.0054943166;14915.3046875
;BR;2003;p59p60;15449.3841851;18888.247391;;;18659.0957031;0.0059800036;0.0056326883;15276.3876953
;BR;2003;p60p61;15789.6699019;19332.0064474;;;19113.8144531;0.0061117182;0.0057650222;15620.3701172
;BR;2003;p61p62;16130.7171427;19762.2396634;;;19547.7265625;0.0062437276;0.0058933226;15959.1376953
;BR;2003;p62p63;16483.3737139;20199.8947588;;;19978.0039062;0.0063802307;0.0060238363;16304.2363281
;BR;2003;p63p64;16857.8907145;20666.2817248;;;20426.609375;0.0065251952;0.0061629182;16666.1679688
;BR;2003;p64p65;17263.6229791;21180.4932017;;;20913.9902344;0.0066822423;0.0063162618;17054.8417969
;BR;2003;p65p66;17708.2723661;21757.6368442;;;21457.5898438;0.006854353;0.0064883726;17478.9355469
;BR;2003;p66p67;18196.8338952;22406.4212199;;;22069.7851562;0.0070434608;0.0066818474;17944.9960938
;BR;2003;p67p68;18730.1785669;23125.8266596;;;22755.0605469;0.0072499029;0.0068963822;18456.2363281
;BR;2003;p68p69;19303.1020327;23900.6205873;;;23506.1582031;0.0074716648;0.0071274345;19010.8613281
;BR;2003;p69p70;19901.7007659;24695.2566825;;;24298.859375;0.0077033648;0.0073644039;19599.8242188
;BR;2003;p70p71;20502.6406138;25451.7293582;;;25084.9296875;0.007935971;0.0075899926;20203.7773438
;BR;2003;p71p72;21099.956907;26147.0937175;;;25807.4003906;0.0081671746;0.0077973581;20800.4550781
;BR;2003;p72p73;21714.1759041;26814.489787;;;26482.0683594;0.0084049208;0.0079963831;21402.25
;BR;2003;p73p74;22369.6880264;27495.6755927;;;27149.1738281;0.0086586503;0.0081995204;22032.9746094
;BR;2003;p74p75;23091.2758862;28234.4094614;;;27851.7714844;0.0089379558;0.0084198192;22717.4316406
;BR;2003;p75p76;23902.4107826;29074.0515334;;;28633.9355469;0.0092519224;0.0086702099;23480.109375
;BR;2003;p76p77;24822.4712747;30053.4866478;;;29537.6464844;0.0096080508;0.0089622885;24343.0039062
;BR;2003;p77p78;25862.3400571;31200.4379367;;;30597.5957031;0.0100105535;0.0093043223;25322.1542969
;BR;2003;p78p79;27017.5297929;32520.7954336;;;31832.8027344;0.0104576936;0.0096980678;26422.1640625
;BR;2003;p79p80;28257.5723054;33981.7298534;;;33233.2695312;0.0109376777;0.0101337349;27627.7246094
;BR;2003;p80p81;29517.1497721;35495.7682652;;;34739.0117188;0.0114252232;0.0105852382;28890.5195312
;BR;2003;p81p82;30761.0997566;37008.004689;;;36250.6953125;0.0119067198;0.0110362042;30140.0175781
;BR;2003;p82p83;32020.116607;38548.9604913;;;37769.8984375;0.0123940483;0.0114957346;31384.5039062
;BR;2003;p83p84;33342.2809968;40169.5410514;;;39341.0507812;0.0129058193;0.01197901;32666.0273438
;BR;2003;p84p85;34789.1620777;41935.1988198;;;41021.9335938;0.0134658646;0.012505549;34039.0664062
;BR;2003;p85p86;36437.53542;43927.9945171;;;42886.0234375;0.0141039016;0.0130998231;35572.5742188
;BR;2003;p86p87;38379.6188077;46247.181141;;;45024.1171875;0.0148556251;0.0137914307;37351.234375
;BR;2003;p87p88;40719.1407062;49005.5000533;;;47543.390625;0.0157611854;0.0146139925;39474.234375
;BR;2003;p88p89;43557.4716236;52315.09924;;;50560.0234375;0.0168598201;0.0156009523;42047.7226562
;BR;2003;p89p90;46956.8808806;56248.9576524;;;54176.1835938;0.0181756318;0.0167740732;45162.6132812
;BR;2003;p90p91;50874.3429751;60770.4733859;;;58420.90625;0.0196919665;0.0181224402;48838.734375
;BR;2003;p91p92;55284.3342228;65870.8551125;;;63212.6835938;0.0213989448;0.0196434315;52988.7695312
;BR;2003;p92p93;60330.9354373;71743.0498354;;;68655.5;0.0233523361;0.0213945862;57684.4726562
;BR;2003;p93p94;66269.9176128;78734.2822103;;;75012.9296875;0.025651142;0.0234794505;63123.2460938
;BR;2003;p94p95;73544.2543024;87465.0357205;;;82736.6875;0.0284668244;0.0260830596;69633.1796875
;BR;2003;p95p96;82995.5533911;99152.0426238;;;92664.859375;0.0321251452;0.0295682568;77804.203125
;BR;2003;p96p97;96439.9520691;116501.514087;;;106523.15625;0.0373290777;0.0347420648;88813.7578125
;BR;2003;p97p98;118612.873373;146733.400667;;;128413.882812;0.0459115654;0.0437575541;105383.007812
;BR;2003;p98p99;166461.601065;215351.466076;;;170386.609375;0.0644324049;0.0642202348;135377.140625
;BR;2003;p1p100;26095.9944065;33871.627912;3222.78930664;460.253723145;73.5933837891;0.9999984329;0.9999892252;8.0973320007
;BR;2003;p2p100;26362.1561249;34216.0770658;1627.82971191;212.750244141;160.827438355;0.9999937315;0.9999547487;16.1946640015
;BR;2003;p3p100;26633.7222362;34566.6119261;1096.39904785;126.857925415;272.482879639;0.9999858959;0.9998908732;24.2919960022
;BR;2003;p4p100;26910.8616276;34923.1163916;830.855834961;83.4809875488;418.336151123;0.9999749261;0.9997888303;32.3893280029
;BR;2003;p5p100;27193.7502974;35285.3728953;671.671875;58.1386833191;606.917297363;0.999960822;0.9996371157;40.4866600037
;BR;2003;p6p100;27482.5717333;35653.0717044;565.671325684;42.1813163757;845.233764648;0.9999435837;0.9994219011;48.5839920044
;BR;2003;p7p100;27777.5173148;36025.8239939;490.064727783;31.6444702148;1138.45556641;0.9999232111;0.9991275342;56.6813240051
;BR;2003;p8p100;28078.7867423;36403.1794166;433.457397461;24.4388942719;1489.5592041;0.9998997043;0.9987371383;64.7786560059
;BR;2003;p9p100;28386.5884942;36784.6489877;389.519104004;19.3712825775;1898.92687988;0.9998730633;0.9982333257;72.8759841919
;BR;2003;p10p100;28697.1419093;37169.7342104;20.8594379425;15.7239179611;2363.89770508;0.9997039981;0.9975990366;1375.73901367
;BR;2003;p11p100;29001.353639;37557.970979;15.5006494522;13.0606966019;2875.6484375;0.9990760541;0.9968187186;1870.97668457
;BR;2003;p12p100;29306.8120614;37949.0493001;12.3639879227;11.1196517944;3412.79101562;0.9982550724;0.9958814171;2370.33642578
;BR;2003;p13p100;29613.6072594;38342.9073759;10.3628482819;9.70044994354;3952.69384766;0.9972426388;0.9947829867;2857.6706543
;BR;2003;p14p100;29922.0102083;38739.7303279;9.01587486267;8.65668010712;4475.12548828;0.9960462213;0.9935256881;3318.81396484
;BR;2003;p15p100;30232.4571868;39139.9327708;8.07903671265;7.88650751114;4962.89794922;0.9946783069;0.9921173786;3742.08691406
;BR;2003;p16p100;30545.5267324;39544.1320221;7.41601848602;7.31947755814;5402.58935547;0.9931553327;0.9905704984;4118.85791016
;BR;2003;p17p100;30861.9077921;39953.1101784;6.94435977936;6.90591239929;5785.34863281;0.9914963869;0.9889008299;4444.16894531
